run_id,statement_id,domain,arm,n_reframes,naming_failures,encode_failures,judge_failures,diversity,coherence,tokens,calls,cache_hits
20260808T152748Z,science-3,science,B,8,0,0,0,1.1035,3.0000,845,17,0
20260808T152748Z,science-4,science,A,8,0,0,0,0.9914,5.0000,651,10,0
20260808T152748Z,science-4,science,B,8,0,0,0,1.0642,5.0000,841,17,0
20260808T152748Z,science-5,science,A,8,0,0,0,0.9983,3.0000,651,10,0
20260808T152748Z,science-5,science,B,8,0,0,0,1.0431,3.0000,846,17,0
20260808T152748Z,design-1,design,A,8,0,0,0,0.9369,5.0000,656,10,0
20260808T152748Z,design-1,design,B,8,0,0,0,1.0632,5.0000,844,17,0
20260808T152748Z,design-2,design,A,8,0,0,0,1.0054,4.0000,654,10,0
20260808T152748Z,design-2,design,B,8,0,0,0,0.9315,4.0000,842,17,0
20260808T152748Z,design-3,design,A,8,0,0,0,0.9318,3.0000,651,10,0
20260808T152748Z,design-3,design,B,8,0,0,0,1.0159,3.0000,844,17,0
20260808T152748Z,design-4,design,A,8,0,0,0,1.0057,5.0000,654,10,0
20260808T152748Z,design-4,design,B,8,0,0,0,1.0004,5.0000,848,17,0
20260808T152748Z,design-5,design,A,8,0,0,0,0.9721,5.0000,653,10,0
20260808T152748Z,design-5,design,B,8,0,0,0,1.0675,5.0000,845,17,0
20260808T154020Z,product-1,product,A,8,0,0,0,0.1190,5.0000,2821,10,0
20260808T154020Z,product-1,product,B,8,0,0,0,0.6339,2.0000,3904,17,0
20260808T154020Z,product-2,product,A,8,0,0,0,0.1496,5.0000,2723,10,0
20260808T154020Z,product-2,product,B,8,0,0,0,0.1822,3.0000,3912,17,1
20260808T154020Z,product-3,product,A,8,0,0,0,0.1626,5.0000,2787,10,0
20260808T154020Z,product-3,product,B,8,0,0,0,0.4389,2.0000,3949,17,0
20260808T154020Z,product-4,product,A,8,0,0,0,0.0000,5.0000,2756,10,0
20260808T154020Z,product-4,product,B,8,0,0,0,0.4077,3.0000,3893,17,1
20260808T154020Z,product-5,product,A,8,0,0,0,0.7646,4.0000,2725,10,0
20260808T154020Z,product-5,product,B,8,0,0,0,0.2675,2.0000,3882,17,0
20260808T154020Z,policy-1,policy,A,8,0,0,0,0.7206,2.0000,2699,10,0
20260808T154020Z,policy-1,policy,B,8,0,0,0,0.4688,3.0000,3914,17,2
20260808T154020Z,policy-2,policy,A,8,0,0,0,0.2074,4.0000,2687,10,0
20260808T154020Z,policy-2,policy,B,8,0,0,0,0.3285,3.0000,3907,17,1
20260808T154020Z,policy-3,policy,A,8,0,1,0,0.8173,4.0000,2676,10,0
20260808T154020Z,policy-3,policy,B,8,0,0,0,0.2493,3.0000,3915,17,1
20260808T154020Z,policy-4,policy,A,8,0,0,0,0.1367,5.0000,2699,10,0
20260808T154020Z,policy-4,policy,B,8,0,0,0,0.1878,4.0000,3840,17,2
20260808T154020Z,policy-5,policy,A,8,0,0,0,0.2522,4.0000,2681,10,0
20260808T154020Z,policy-5,policy,B,8,0,0,0,0.3219,4.0000,3897,17,1
