metric,value,baseline,split,seed,date
poc01_scaffold_acc,0.1200,alone:0.0600,50 problems,frozen,2026-08-15
poc01_delta_pp,6.00,>=20,50 problems,frozen,2026-08-15
poc01_mcnemar_p,0.5078,<0.05,50 problems,frozen,2026-08-15
